property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servent room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,shapoorji pallonji joyville gurugram,sector 102,1.24,10205.0,2.0,2,2,10.0,Relatively New,1157.0,0,0,0,0,0,0,141,"28.4750° N, 76.9715° E",28.475,76.9715
house,dlf city plots phase 2,sector 25,6.5,33548.0,3.0,9,3+,3.0,Old Property,1937.5,1,1,1,1,0,2,142,"28.4844° N, 77.0860° E",28.4844,77.086
flat,pivotal devaan,sector 84,0.36,7589.0,2.0,2,1,9.0,Relatively New,545.0,0,0,0,0,0,1,80,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,rof ananda,sector 95,0.38,6919.0,2.0,2,1,4.0,New Property,610.0,0,0,0,0,0,0,0,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,eldeco accolade,sector 33,1.2,8043.0,2.0,2,2,0.0,New Property,1492.0,0,0,0,0,0,0,55,"28.4420° N, 77.0207° E",28.442,77.0207
flat,vatika city,sector 49,1.69,8622.0,3.0,3,3,3.0,Moderately old,2178.0,0,0,0,0,0,0,136,"28.4121° N, 77.0480° E",28.4121,77.048
flat,aipl club residences,sector 70,0.95,10215.0,2.0,2,1,11.0,New Property,930.0,0,0,0,0,0,2,103,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,smart world gems,sector 89,0.86,7796.0,2.0,3,3,4.0,Under Construction,1050.0,0,0,0,0,0,0,45,"28.4253° N, 76.9439° E",28.4253,76.9439
house,huda flats,sector 7,2.3,17094.0,5.0,3,3+,3.0,Old Property,1350.0,1,1,0,1,0,0,27,"28.4644° N, 77.0143° E",28.4644,77.0143
house,aindependentt raj estates,sector 63,8.5,27137.0,6.0,6,3+,3.0,Under Construction,3132.0,0,0,1,1,0,0,29,"28.3971° N, 77.0867° E",28.3971,77.0867
flat,la vida by tata housing,sector 113,2.85,12855.0,3.0,3,3+,10.0,New Property,2111.0,0,0,0,0,0,0,72,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,bestech park view residency,sector 2,1.55,8072.0,3.0,4,3+,10.0,Moderately old,1829.0,0,0,0,0,0,0,100,"28.5095° N, 77.0320° E",28.5095,77.032
flat,shree vardhman victoria,sector 70,1.6,8205.0,3.0,3,3,10.0,Relatively New,1574.0,0,0,0,0,0,0,43,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,mm skycity,sector 65,3.5,17039.0,3.0,3,3,15.0,New Property,2282.0,0,0,0,0,0,2,166,"28.4030° N, 77.0690° E",28.403,77.069
flat,ireo victory valley,sector 67,4.5,14097.0,4.0,4,3+,0.0,Relatively New,3160.0,0,0,0,0,0,2,42,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,afnhb jalvayu vihar,sector 30,0.69,7272.0,2.0,2,1,3.0,Old Property,943.0,0,0,0,0,0,0,65,"28.4604° N, 77.0579° E",28.4604,77.0579
flat,hcbs sports ville,sector 48,0.29,5587.0,2.0,2,1,4.0,Relatively New,577.0,0,0,0,0,0,0,44,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,emaar gurgaon greens,sector 102,1.4,8484.0,3.0,3,3,9.0,Relatively New,1452.0,0,0,0,0,0,0,49,"28.4750° N, 76.9715° E",28.475,76.9715
flat,dlf regal gardens,sector 90,1.29,7103.0,3.0,3,3+,12.0,Relatively New,1817.0,0,0,0,0,0,0,152,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,godrej oasis,sector 88,1.5,8108.0,3.0,3,3+,11.0,New Property,1762.0,0,0,0,0,0,0,39,"28.4220° N, 76.9571° E",28.422,76.9571
flat,ramsons kshitij,sector 95,0.22,6471.0,1.0,1,1,2.0,New Property,324.0,0,0,0,0,0,0,0,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,ats tourmaline,sector 109,2.3,8897.0,3.0,4,3+,10.0,New Property,2462.0,0,0,0,0,0,0,74,"28.5073° N, 77.0089° E",28.5073,77.0089
house,independent,sector 10,4.25,17947.0,4.0,3,2,1.0,Moderately old,2367.0,0,0,0,0,0,0,0,"28.4537° N, 77.0009° E",28.4537,77.0009
flat,silverglades hightown residences,sector 43,4.2,19767.0,3.0,4,2,7.0,Old Property,2048.0,0,0,0,0,0,0,42,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,dhoot time residency,sector 63,3.0,18270.0,3.0,3,3+,14.0,Relatively New,1642.0,0,0,0,0,0,2,0,"28.3971° N, 77.0867° E",28.3971,77.0867
flat,ss the leaf,sector 85,1.06,6343.0,2.0,2,2,12.0,Relatively New,1591.0,0,0,0,0,0,0,44,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,signature global synera,sector 81,0.48,8451.0,2.0,2,1,7.0,Relatively New,628.0,0,0,0,0,0,2,70,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,the close north,sector 50,2.35,11767.0,3.0,3,3+,8.0,Moderately old,1950.0,0,0,0,0,0,2,165,"28.4178° N, 77.0628° E",28.4178,77.0628
house,independent,sector 3,0.7,6993.0,2.0,3,1,1.0,Relatively New,999.0,0,0,1,1,0,0,29,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,puri the aravallis,sector 61,3.87,17200.0,3.0,4,3+,21.0,New Property,2250.0,0,0,0,0,0,0,58,"28.4050° N, 77.0963° E",28.405,77.0963
flat,bestech park view sanskruti,sector 92,1.5,7812.0,3.0,3,3,3.0,Relatively New,1829.0,0,0,0,0,0,0,49,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,dlf express greens,sector 1,1.5,6358.0,4.0,5,3+,10.0,New Property,2247.0,0,0,0,0,0,0,32,"28.3663° N, 76.9456° E",28.3663,76.9456
flat,signature global orchard avenue,sector 93,0.4,7358.0,2.0,2,2,11.0,New Property,604.0,0,0,0,0,0,0,37,"28.4153° N, 76.9326° E",28.4153,76.9326
house,independent,sector 13,2.25,6945.0,10.0,10,2,1.0,Old Property,400.0,0,0,0,0,0,0,0,"28.4757° N, 77.0392° E",28.4757,77.0392
house,independent,sector 43,2.1,4250.0,10.0,10,3+,5.0,New Property,549.0,0,1,0,0,0,0,20,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,umang monsoon breeze,sector 78,0.88,4746.0,3.0,4,3,8.0,Moderately old,1668.0,0,0,0,0,0,0,111,"28.3733° N, 76.9729° E",28.3733,76.9729
flat,tulip ivory,sector 70,5.0,10416.0,6.0,7,3+,0.0,Relatively New,5333.0,0,0,0,0,0,0,119,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,dlf the arbour,sector 63,7.8,19747.0,4.0,4,0,6.0,Relatively New,3950.0,0,0,0,0,0,0,61,"28.3971° N, 77.0867° E",28.3971,77.0867
flat,umang winter hills,sector 77,0.92,5049.0,3.0,3,3,17.0,Relatively New,1645.0,0,0,0,0,0,2,49,"28.3801° N, 76.9845° E",28.3801,76.9845
flat,mm woodshire,sector 107,0.8,5856.0,2.0,2,3+,7.0,Relatively New,1301.0,0,0,0,0,0,2,165,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,vatika lifestyle homes,sector 83,1.25,6839.0,3.0,2,1,6.0,Relatively New,1740.0,0,0,0,0,0,1,174,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,ss the leaf,sector 85,1.77,7350.0,3.0,4,3,6.0,Moderately old,1450.0,0,0,0,0,0,2,135,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,ireo the corridors,sector 67,2.0,11580.0,3.0,3,2,6.0,Under Construction,1387.0,0,0,0,0,0,0,15,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,godrej air,sector 85,1.8,13136.0,3.0,3,3,30.0,Under Construction,141.0,0,0,0,0,0,0,45,"28.4042° N, 76.9513° E",28.4042,76.9513
house,independent,sector 4,2.25,9633.0,3.0,2,1,1.0,Old Property,250.0,0,1,0,1,0,0,8,"28.4738° N, 77.0107° E",28.4738,77.0107
