property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servent room,store room,furnishing_type,luxury_category,floor_category
flat,sector 84,0.9,3.0,3,3+,Relatively New,1525.0,0,0,0,High,High Floor
flat,sector 82,0.78,2.0,2,2,Relatively New,1236.0,0,0,2,Medium,Low Floor
house,sector 4,0.58,2.0,2,1,Moderately old,67.0,0,0,0,Low,Low Floor
flat,sector 65,2.8,3.0,3,3+,Relatively New,1833.0,0,0,2,Low,Mid Floor
flat,sector 111,3.65,4.0,5,3+,Moderately old,2810.0,0,0,0,Medium,High Floor
flat,sector 90,0.4,2.0,2,1,New Property,590.0,0,0,0,Low,Mid Floor
flat,sector 86,1.93,3.0,4,3,Relatively New,2176.0,0,0,0,Medium,High Floor
flat,sector 102,1.91,3.0,4,2,Relatively New,1635.0,0,0,2,High,High Floor
flat,sector 110,3.79,5.0,5,3,Relatively New,3648.0,0,0,0,Medium,Mid Floor
house,sector 7,0.45,3.0,2,0,Old Property,1000.0,0,0,0,Low,Low Floor
flat,sector 74,1.78,2.0,2,3+,Relatively New,1582.0,0,0,0,Low,High Floor
flat,sector 71,1.32,4.0,4,3,Moderately old,2089.0,0,0,0,Medium,High Floor
house,sector 55,4.6,3.0,3,3+,Old Property,2160.0,1,1,2,Low,Low Floor
flat,sector 78,0.8,3.0,2,2,Moderately old,1472.0,0,0,0,Medium,Mid Floor
flat,sector 70,1.15,2.0,2,3,Relatively New,1286.0,0,0,0,Low,Mid Floor
flat,sector 102,2.5,4.0,5,3+,Relatively New,2600.0,0,0,2,High,Mid Floor
flat,sector 109,1.8,3.0,3,2,Moderately old,1958.0,0,0,0,Medium,Low Floor
flat,sector 86,1.5,3.0,3,3+,Relatively New,1780.0,0,0,0,High,High Floor
flat,sector 81,2.4,3.0,3,3+,Relatively New,1650.0,0,0,1,Low,High Floor
house,sector 6,0.5,3.0,3,2,Moderately old,600.0,0,0,0,Low,Low Floor
flat,sector 79,1.72,3.0,4,3,New Property,2050.0,0,0,0,Low,Mid Floor
flat,sector 77,0.86,2.0,2,2,New Property,1278.0,0,0,2,Medium,High Floor
flat,sector 74,1.55,2.0,2,3+,Relatively New,1300.0,0,0,0,Medium,High Floor
flat,sector 48,0.2,1.0,1,1,New Property,473.99,0,0,0,Medium,Mid Floor
flat,sector 90,1.78,4.0,4,3+,Relatively New,2000.0,0,0,0,Medium,Mid Floor
house,sector 48,8.4,4.0,4,3,Old Property,3240.0,1,0,2,Low,Low Floor
flat,sector 85,1.85,4.0,5,3+,Relatively New,2678.0,0,0,0,Medium,Low Floor
flat,sector 109,1.8,3.0,3,3+,Relatively New,2060.0,0,0,0,High,Mid Floor
house,sector 51,2.25,6.0,3,3+,Relatively New,900.0,0,0,0,Medium,Mid Floor
flat,sector 92,0.87,4.0,4,2,Moderately old,1667.0,0,0,1,Medium,Low Floor
flat,sector 89,1.71,3.0,2,0,New Property,1423.0,0,0,0,Low,Mid Floor
flat,sector 102,1.8,3.0,4,3,Relatively New,1799.0,0,0,0,Low,High Floor
flat,sector 89,1.55,3.0,2,3,Moderately old,1476.0,0,0,2,Medium,Mid Floor
flat,sector 86,0.78,2.0,2,1,New Property,1295.0,0,0,0,Medium,Mid Floor
house,sector 48,8.4,4.0,5,3+,Moderately old,4000.0,1,0,2,Low,Low Floor
flat,sector 48,11.25,4.0,5,3+,Relatively New,4422.0,0,0,0,Low,Low Floor
flat,sector 67,1.85,4.0,4,0,Relatively New,2556.0,0,0,0,Low,Mid Floor
flat,sector 73,1.0,2.0,2,2,New Property,1444.0,0,0,0,Low,High Floor
house,sector 23,2.7,5.0,5,2,Old Property,1453.13,0,0,2,Low,Mid Floor
flat,sector 85,1.65,3.0,4,3,New Property,2293.0,0,0,0,Low,Mid Floor
flat,sector 56,1.35,3.0,3,3,Old Property,1800.0,0,0,2,Medium,Mid Floor
flat,sector 106,1.05,3.0,4,3+,Relatively New,1345.0,0,0,0,High,Mid Floor
flat,sector 70,1.15,2.0,2,2,Relatively New,1500.0,0,0,0,Medium,Mid Floor
flat,sector 81,1.28,3.0,3,3,Moderately old,1982.0,0,0,2,Low,Low Floor
flat,sector 95,0.48,2.0,2,2,Relatively New,744.0,0,0,0,Low,Mid Floor
flat,sector 89,1.33,3.0,3,3,New Property,1423.0,0,0,0,Medium,Mid Floor
flat,sector 85,1.18,2.0,2,3,Relatively New,1630.0,0,0,0,Low,Mid Floor
flat,sector 67,2.78,3.0,3,3+,Relatively New,2047.1,0,0,2,High,Mid Floor
flat,sector 48,0.54,2.0,1,3,New Property,828.0,0,0,0,Medium,Low Floor
